lei,scope,refPeriod,bank_name,country,institution_type,trea_eur,lr_exposure_eur,rwa_density,ov1_total_eur,ov1_abweichung,ov1_teile_summe,ov1_teile_stimmt,anteil_kredit,anteil_ccr,anteil_markt,anteil_operationell,kredit_sa_anteil,kredit_irb_anteil,ansatz,skalenverdacht,plausibel
213800CBW4NPFP73ZK64,CON,2025-12-31,ANCORIA INVESTMENTS PLC,Cyprus,Other highest EEA,199412464.55,915692831.82,0.2178,199412464.55,0.0,199412464.55,true,0.8397,0.0,0.0,0.1603,1.0,,SA,unbekannt,true
213800CQ92347ZCS9V73,CON,2025-12-31,"ATLÂNTICO EUROPA, SGPS, SA",Portugal,Other highest EEA,273193711.33,845122776.33,0.3233,273193711.33,0.0,273193711.33,true,0.8289,0.0048,0.0027,0.1634,1.0058,,SA,unbekannt,true
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,Greece,Large highest EEA,30604478899.41,74581069163.04,0.4104,30604478899.41,0.0,30604478899.41,true,0.8363,0.0072,0.0148,0.1186,1.0,,SA,false,true
213800DBQIB6VBNU5C64,CON,2025-09-30,Alpha Bank S.A.,Greece,Large highest EEA,30984595704.95,75737726854.2,0.4091,30984595704.95,0.0,30984595704.95,true,0.8443,0.0057,0.0116,0.1171,1.0,,SA,false,true
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,Greece,Large highest EEA,32482147955.74,79265199026.14,0.4098,32482147955.74,0.0,32482147955.74,true,0.8514,0.005,0.0146,0.1067,1.0,,SA,false,true
213800GO21RWIB6O9Q29,CON,2025-12-31,Middelfart Sparekasse,Denmark,Other highest EEA,1602035125.14,4288182249.95,0.3736,1602035125.14,0.0,1602035125.14,true,0.8005,0.0002,0.0588,0.1403,1.0,,SA,unbekannt,true
213800HDJ876ACJXXD05,CON,2025-06-30,AIKGROUP (CY) LIMITED,Cyprus,Large highest EEA,6868048579.57,10446106037.16,0.6575,6868048579.57,0.0,6868048579.57,true,0.9168,0.0016,0.0027,0.0779,1.0,,SA,false,true
213800HDJ876ACJXXD05,CON,2025-09-30,AIKGROUP (CY) LIMITED,Cyprus,Large highest EEA,7147631124.9,10654291219.52,0.6709,7147631124.9,0.0,7147631124.9,true,0.9184,0.0023,0.0029,0.0748,1.0,,SA,false,true
213800JF3JFF6MMR2P36,CON,2025-12-31,Fynske Bank A/S,Denmark,Other highest EEA,732072131.06,1499666810.82,0.4882,732072131.19,0.0,732072131.19,true,0.753,0.0024,0.1346,0.11,1.0,,SA,unbekannt,true
213800KGF4EFNUQKAT69,CON,2025-12-31,EUROBANK S.A.,Greece,Large highest EEA,53646935316.43,113522804143.46,0.4726,,,,,,,,,1.0,,SA,unbekannt,true
213800KOJ5JSZ6ID2R91,IND,2025-12-31,Sparekassen Balling,Denmark,Other highest EEA,97963800.16,253197497.6,0.3869,97963800.16,0.0,97963800.16,true,0.7446,,0.1204,0.135,1.0,,SA,unbekannt,true
213800KYUPNOQPAQL758,CON,2025-12-31,BANCO DE INVESTIMENTO GLOBAL S.A.,Portugal,Other highest EEA,1082761.0,2929680.0,0.3696,1082761.0,0.0,1082761.0,true,0.7169,0.0132,0.0999,0.1215,1.0,,SA,unbekannt,true
