lei,bank_name,country,consolidation,refdate,submission_ts,im_xbrl_bestand,url
222100V03Y766EM5TZ83,Brown Brothers Harriman (Luxembourg) S.C.A.,LU,IND,2025-12-31,20260428124000000,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/222100V03Y766EM5TZ83.IND_LU_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260428124000000.zip
222100V03Y766EM5TZ83,Brown Brothers Harriman (Luxembourg) S.C.A.,LU,IND,2025-12-31,20260519110000000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/222100V03Y766EM5TZ83.IND_LU_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260519110000000.zip
2534005A84927EKSR789,Signet Bank AS,LV,CON,2025-12-31,20260528114010000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2534005A84927EKSR789.CON_LV_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260528114010000.zip
254900RNFMDM0P11YR84,Atlantic Lux HoldCo S.à r.l.,DE,CON,2025-06-30,20260625090843656,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/254900RNFMDM0P11YR84.CON_DE_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260625090843656.zip
254900RNFMDM0P11YR84,Atlantic Lux HoldCo S.à r.l.,DE,CON,2025-09-30,20260625104931354,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/254900RNFMDM0P11YR84.CON_DE_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20260625104931354.zip
2594000ZNGGQZXZKXH36,VELOBANK SA,PL,CON,2025-12-31,20260420131241950,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2594000ZNGGQZXZKXH36.CON_PL_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260420131241950.zip
2594009RV746A68X4G95,Wschodni Bank Spoldzielczy w Chelmie,PL,IND,2025-12-31,20260622083000000,false,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2594009RV746A68X4G95.IND_PL_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260622083000000.zip
2594009RV746A68X4G95,Wschodni Bank Spoldzielczy w Chelmie,PL,IND,2025-12-31,20260623085500000,false,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2594009RV746A68X4G95.IND_PL_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260623085500000.zip
259400BILZFH923Q1N56,WARMINSKO - MAZURSKI BANK SPOLDZIELCZY,PL,IND,2025-12-31,20260616124736230,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/259400BILZFH923Q1N56.IND_PL_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260616124736230.zip
259400BILZFH923Q1N56,WARMINSKO - MAZURSKI BANK SPOLDZIELCZY,PL,IND,2025-12-31,20260617125900000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/259400BILZFH923Q1N56.IND_PL_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260617125900000.zip
259400DAAAR5M4A6SI23,Bank Pocztowy S.A.,PL,IND,2025-12-31,20260223115600000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/259400DAAAR5M4A6SI23.IND_PL_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260223115600000.zip
259400DZXF7UJKK2AY35,mBank S.A.,PL,CON,2025-06-30,20260417135002100,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/259400DZXF7UJKK2AY35.CON_PL_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260417135002100.zip
259400DZXF7UJKK2AY35,mBank S.A.,PL,CON,2025-09-30,20260401135002102,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/259400DZXF7UJKK2AY35.CON_PL_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20260401135002102.zip
259400DZXF7UJKK2AY35,mBank S.A.,PL,CON,2025-12-31,20260227131102101,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/259400DZXF7UJKK2AY35.CON_PL_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260227131102101.zip
259400DZXF7UJKK2AY35,mBank S.A.,PL,CON,2026-03-31,20260511113602100,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/259400DZXF7UJKK2AY35.CON_PL_PILLAR3010000_P3NONREMDISDOCS_2026-03-31_20260511113602100.zip
