datapoint_code,frequency,label,unit,template
dp475431,20,[TODO: DPM lookup] dp475431,[TODO],[TODO]
dp475432,1,[TODO: DPM lookup] dp475432,[TODO],[TODO]
dp475433,4,[TODO: DPM lookup] dp475433,[TODO],[TODO]
dp475434,17,[TODO: DPM lookup] dp475434,[TODO],[TODO]
dp475437,15,[TODO: DPM lookup] dp475437,[TODO],[TODO]
dp475439,1,[TODO: DPM lookup] dp475439,[TODO],[TODO]
dp475441,11,[TODO: DPM lookup] dp475441,[TODO],[TODO]
dp475443,12,[TODO: DPM lookup] dp475443,[TODO],[TODO]
dp475445,8,[TODO: DPM lookup] dp475445,[TODO],[TODO]
dp475449,18,[TODO: DPM lookup] dp475449,[TODO],[TODO]
dp475450,19,[TODO: DPM lookup] dp475450,[TODO],[TODO]
dp475451,19,[TODO: DPM lookup] dp475451,[TODO],[TODO]
dp475452,18,[TODO: DPM lookup] dp475452,[TODO],[TODO]
dp475453,19,[TODO: DPM lookup] dp475453,[TODO],[TODO]
dp475456,1,[TODO: DPM lookup] dp475456,[TODO],[TODO]
dp475458,19,[TODO: DPM lookup] dp475458,[TODO],[TODO]
dp475459,19,[TODO: DPM lookup] dp475459,[TODO],[TODO]
dp475460,18,[TODO: DPM lookup] dp475460,[TODO],[TODO]
dp475461,19,[TODO: DPM lookup] dp475461,[TODO],[TODO]
dp475462,19,[TODO: DPM lookup] dp475462,[TODO],[TODO]
dp475463,19,[TODO: DPM lookup] dp475463,[TODO],[TODO]
dp475464,18,[TODO: DPM lookup] dp475464,[TODO],[TODO]
dp475465,19,[TODO: DPM lookup] dp475465,[TODO],[TODO]
dp475466,19,[TODO: DPM lookup] dp475466,[TODO],[TODO]
dp475467,19,[TODO: DPM lookup] dp475467,[TODO],[TODO]
dp475468,18,[TODO: DPM lookup] dp475468,[TODO],[TODO]
dp475469,19,[TODO: DPM lookup] dp475469,[TODO],[TODO]
dp475470,19,[TODO: DPM lookup] dp475470,[TODO],[TODO]
dp475471,19,[TODO: DPM lookup] dp475471,[TODO],[TODO]
dp475472,18,[TODO: DPM lookup] dp475472,[TODO],[TODO]
dp475473,19,[TODO: DPM lookup] dp475473,[TODO],[TODO]
dp475474,19,[TODO: DPM lookup] dp475474,[TODO],[TODO]
dp475475,19,[TODO: DPM lookup] dp475475,[TODO],[TODO]
dp475476,18,[TODO: DPM lookup] dp475476,[TODO],[TODO]
dp475477,19,[TODO: DPM lookup] dp475477,[TODO],[TODO]
dp475478,18,[TODO: DPM lookup] dp475478,[TODO],[TODO]
dp475479,18,[TODO: DPM lookup] dp475479,[TODO],[TODO]
